         103506 function calls (102782 primitive calls) in 28.232 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    4.434    4.434   22.448   22.448 Camera.py:362(run)
       52    0.003    0.000    5.865    0.113 Camera.py:285(process_frame)
        1    0.000    0.000    5.784    5.784 Camera.py:214(__init__)
       52    0.859    0.017    5.387    0.104 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\mediapipe\python\solutions\hands.py:132(process)
       53    5.208    0.098    5.208    0.098 {method 'read' of 'cv2.VideoCapture' objects}
       52    4.483    0.086    4.529    0.087 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\mediapipe\python\solution_base.py:268(process)
        1    0.000    0.000    3.526    3.526 Camera.py:24(__init__)
        1    0.877    0.877    3.355    3.355 Camera.py:238(find_working_camera)
        1    0.000    0.000    3.175    3.175 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask_socketio\__init__.py:170(__init__)
        1    0.000    0.000    3.175    3.175 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask_socketio\__init__.py:190(init_app)
        1    0.000    0.000    3.175    3.175 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\socketio\base_server.py:16(__init__)
        1    0.000    0.000    3.174    3.174 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\engineio\base_server.py:35(__init__)
        1    0.000    0.000    3.174    3.174 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\importlib\__init__.py:108(import_module)
        1    0.000    0.000    3.174    3.174 <frozen importlib._bootstrap>:1038(_gcd_import)
     26/1    0.000    0.000    3.174    3.174 <frozen importlib._bootstrap>:1022(_find_and_load)
     26/1    0.000    0.000    3.174    3.174 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     25/1    0.000    0.000    3.114    3.114 <frozen importlib._bootstrap>:664(_load_unlocked)
     25/1    0.000    0.000    3.114    3.114 <frozen importlib._bootstrap_external>:877(exec_module)
        2    3.111    1.555    3.111    1.555 {built-in method time.sleep}
    123/9    0.949    0.008    3.006    0.334 {built-in method builtins.exec}
     26/1    0.000    0.000    3.005    3.005 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    2.943    2.943 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\engineio\async_drivers\threading.py:1(<module>)
        1    0.000    0.000    2.740    2.740 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\engineio\async_drivers\_websocket_wsgi.py:1(<module>)
        1    0.000    0.000    2.459    2.459 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\simple_websocket\__init__.py:1(<module>)
        1    0.000    0.000    2.211    2.211 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\simple_websocket\ws.py:1(<module>)
        1    0.000    0.000    2.067    2.067 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\wsproto\__init__.py:1(<module>)
        1    0.000    0.000    1.818    1.818 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\wsproto\connection.py:1(<module>)
        2    1.305    0.652    1.305    0.652 {method 'release' of 'cv2.VideoCapture' objects}
       25    0.001    0.000    1.195    0.048 <frozen importlib._bootstrap_external>:950(get_code)
      104    1.103    0.011    1.103    0.011 {method 'copy' of 'numpy.ndarray' objects}
       25    0.000    0.000    0.978    0.039 <frozen importlib._bootstrap_external>:1070(get_data)
      104    0.952    0.009    0.952    0.009 {putText}
       99    0.000    0.000    0.941    0.010 <frozen importlib._bootstrap_external>:140(_path_stat)
       99    0.941    0.010    0.941    0.010 {built-in method nt.stat}
        1    0.000    0.000    0.863    0.863 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\wsproto\utilities.py:1(<module>)
        1    0.000    0.000    0.863    0.863 {built-in method builtins.__import__}
       25    0.001    0.000    0.832    0.033 <frozen importlib._bootstrap>:921(_find_spec)
       25    0.000    0.000    0.831    0.033 <frozen importlib._bootstrap_external>:1431(find_spec)
       25    0.000    0.000    0.830    0.033 <frozen importlib._bootstrap_external>:1399(_get_spec)
       37    0.002    0.000    0.798    0.022 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    0.676    0.676 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\h11\__init__.py:1(<module>)
       52    0.650    0.012    0.650    0.012 {imshow}
        1    0.000    0.000    0.505    0.505 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\h11\_connection.py:1(<module>)
       44    0.001    0.000    0.494    0.011 Camera.py:321(send_coordinates)
       44    0.001    0.000    0.490    0.011 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\zmq\sugar\socket.py:992(send_json)
       25    0.489    0.020    0.489    0.020 {method 'read' of '_io.BufferedReader' objects}
       52    0.475    0.009    0.475    0.009 {cvtColor}
        1    0.000    0.000    0.468    0.468 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\wsproto\events.py:1(<module>)
       44    0.440    0.010    0.440    0.010 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\zmq\sugar\socket.py:623(send)
       13    0.438    0.034    0.438    0.034 {built-in method builtins.print}
       25    0.347    0.014    0.347    0.014 {built-in method io.open_code}
       34    0.000    0.000    0.326    0.010 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       31    0.000    0.000    0.311    0.010 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.217    0.217 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\h11\_events.py:1(<module>)
       25    0.000    0.000    0.212    0.008 <frozen importlib._bootstrap_external>:1089(path_stats)
        2    0.000    0.000    0.191    0.096 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\threading.py:916(start)
        2    0.000    0.000    0.191    0.095 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\threading.py:589(wait)
        2    0.000    0.000    0.191    0.095 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\threading.py:288(wait)
        9    0.191    0.021    0.191    0.021 {method 'acquire' of '_thread.lock' objects}
       25    0.142    0.006    0.142    0.006 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.132    0.132 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\h11\_headers.py:1(<module>)
        1    0.000    0.000    0.127    0.127 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask\app.py:226(__init__)
        1    0.000    0.000    0.124    0.124 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\asyncio\events.py:781(new_event_loop)
