         4007 function calls (3931 primitive calls) in 0.795 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.694    0.694 D:\Projects\CAD_in_air\START.py:5(main)
        6    0.502    0.084    0.502    0.084 {built-in method time.sleep}
        1    0.000    0.000    0.274    0.274 D:\Projects\CAD_in_air\ThreadLauncher.py:68(launch_main)
       20    0.000    0.000    0.272    0.014 D:\Programs\Anaconda3\Lib\multiprocessing\popen_spawn_win32.py:105(wait)
        1    0.000    0.000    0.271    0.271 D:\Programs\Anaconda3\Lib\multiprocessing\process.py:142(join)
       13    0.271    0.021    0.271    0.021 {built-in method _winapi.WaitForSingleObject}
        1    0.000    0.000    0.219    0.219 D:\Projects\CAD_in_air\ThreadLauncher.py:50(launch_threads)
        1    0.000    0.000    0.201    0.201 D:\Projects\CAD_in_air\ThreadLauncher.py:79(terminate_all)
        5    0.000    0.000    0.019    0.004 D:\Projects\CAD_in_air\ThreadLauncher.py:39(_start_process)
        5    0.000    0.000    0.019    0.004 D:\Programs\Anaconda3\Lib\multiprocessing\process.py:110(start)
        5    0.000    0.000    0.019    0.004 D:\Programs\Anaconda3\Lib\multiprocessing\context.py:222(_Popen)
        5    0.000    0.000    0.019    0.004 D:\Programs\Anaconda3\Lib\multiprocessing\context.py:334(_Popen)
        5    0.000    0.000    0.014    0.003 D:\Programs\Anaconda3\Lib\multiprocessing\popen_spawn_win32.py:46(__init__)
        5    0.013    0.003    0.013    0.003 {built-in method _winapi.CreateProcess}
      9/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:1349(_find_and_load)
      9/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      8/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:911(_load_unlocked)
      5/1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap_external>:1021(exec_module)
     19/2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      5/1    0.000    0.000    0.004    0.004 {built-in method builtins.exec}
        1    0.000    0.000    0.004    0.004 D:\Programs\Anaconda3\Lib\multiprocessing\popen_spawn_win32.py:1(<module>)
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1094(get_code)
        1    0.000    0.000    0.002    0.002 D:\Programs\Anaconda3\Lib\subprocess.py:1(<module>)
      6/2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        7    0.001    0.000    0.001    0.000 {built-in method builtins.print}
      2/1    0.000    0.000    0.001    0.001 {built-in method builtins.__import__}
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:783(_compile_bytecode)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        5    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.001    0.001 D:\Programs\Anaconda3\Lib\multiprocessing\spawn.py:1(<module>)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1552(find_spec)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1523(_get_spec)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1215(get_data)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1625(find_spec)
        5    0.000    0.000    0.001    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\util.py:272(__call__)
       15    0.001    0.000    0.001    0.000 {built-in method _winapi.CloseHandle}
        5    0.000    0.000    0.001    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\popen_spawn_win32.py:30(_close_handles)
        1    0.000    0.000    0.001    0.001 D:\Programs\Anaconda3\Lib\locale.py:1(<module>)
       10    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\reduction.py:58(dump)
       85    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        5    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\__init__.py:287(compile)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\__init__.py:330(_compile)
       10    0.000    0.000    0.000    0.000 {method 'dump' of '_pickle.Pickler' objects}
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_compiler.py:743(compile)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\process.py:128(terminate)
        5    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\popen_spawn_win32.py:126(terminate)
        1    0.000    0.000    0.000    0.000 {built-in method _winapi.TerminateProcess}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
       27    0.000    0.000    0.000    0.000 {built-in method nt.stat}
       10    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\process.py:153(is_alive)
        5    0.000    0.000    0.000    0.000 {built-in method _winapi.CreatePipe}
       19    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\popen_spawn_win32.py:123(poll)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:970(parse)
        5    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\spawn.py:160(get_preparation_data)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      4/1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:451(_parse_sub)
        5    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\process.py:80(__init__)
       10    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      4/1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_parser.py:511(_parse)
        6    0.000    0.000    0.000    0.000 <frozen ntpath>:222(split)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        5    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\spawn.py:83(get_command_line)
        5    0.000    0.000    0.000    0.000 <frozen ntpath>:254(basename)
        5    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\process.py:61(_cleanup)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
       10    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\reduction.py:38(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_compiler.py:576(_code)
        5    0.000    0.000    0.000    0.000 {built-in method _io.open}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_get_cached)
       10    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\process.py:347(__reduce__)
      105    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 D:\Projects\CAD_in_air\ThreadLauncher.py:31(__init__)
      6/1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_compiler.py:37(_compile)
        1    0.000    0.000    0.000    0.000 D:\Projects\CAD_in_air\Profiler.py:46(end)
        5    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\subprocess.py:306(_args_from_interpreter_flags)
      131    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
       36    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1620(_get_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        5    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\util.py:253(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1234(path_stats)
      271    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        9    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\site-packages\_distutils_hack\__init__.py:101(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:261(dirname)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        6    0.000    0.000    0.000    0.000 <frozen ntpath>:34(_get_bothseps)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
  302/295    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        5    0.000    0.000    0.000    0.000 {built-in method _winapi.GetExitCodeProcess}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:834(spec_from_file_location)
      287    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       22    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
      215    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_compiler.py:241(_optimize_charset)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:698(_classify_pyc)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      194    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        5    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\_weakrefset.py:85(add)
        5    0.000    0.000    0.000    0.000 <frozen ntpath>:80(isabs)
       17    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\subprocess.py:759(Popen)
       10    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\context.py:369(set_spawning_popen)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:573(abspath)
       70    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\re\_compiler.py:514(_compile_info)
       15    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\spawn.py:92(<genexpr>)
        2    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\functools.py:36(update_wrapper)
       15    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        5    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\_weakrefset.py:39(_remove)
        6    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot_ex}
       17    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        5    0.000    0.000    0.000    0.000 D:\Programs\Anaconda3\Lib\multiprocessing\spawn.py:138(_check_not_importing_main)
