         11476 function calls (11474 primitive calls) in 8.524 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    8.277    8.277 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask_socketio\__init__.py:563(run)
        1    0.000    0.000    8.277    8.277 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask\app.py:546(run)
        1    0.000    0.000    8.087    8.087 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\serving.py:960(run_simple)
        1    0.000    0.000    7.671    7.671 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\serving.py:817(serve_forever)
        1    0.000    0.000    7.671    7.671 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\socketserver.py:215(serve_forever)
       15    0.000    0.000    7.670    0.511 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\selectors.py:320(select)
       15    0.000    0.000    7.670    0.511 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\selectors.py:314(_select)
       15    7.670    0.511    7.670    0.511 {built-in method select.select}
        1    0.000    0.000    0.337    0.337 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\serving.py:906(make_server)
        1    0.000    0.000    0.337    0.337 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\serving.py:711(__init__)
        1    0.000    0.000    0.280    0.280 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\importlib\metadata\__init__.py:989(version)
       13    0.250    0.019    0.250    0.019 {built-in method nt.stat}
        7    0.156    0.022    0.190    0.027 {method 'write' of '_io.TextIOWrapper' objects}
        4    0.000    0.000    0.157    0.039 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\logging\__init__.py:1467(info)
        3    0.000    0.000    0.157    0.052 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\logging\__init__.py:1600(_log)
        3    0.000    0.000    0.157    0.052 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\logging\__init__.py:1626(handle)
        3    0.000    0.000    0.157    0.052 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\logging\__init__.py:1680(callHandlers)
        5    0.000    0.000    0.156    0.031 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\logging\__init__.py:955(handle)
        5    0.000    0.000    0.156    0.031 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\logging\__init__.py:1088(emit)
        1    0.000    0.000    0.156    0.156 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask\cli.py:706(load_dotenv)
        1    0.000    0.000    0.154    0.154 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\importlib\metadata\__init__.py:963(distribution)
        1    0.000    0.000    0.154    0.154 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\importlib\metadata\__init__.py:532(from_name)
        3    0.000    0.000    0.154    0.051 {built-in method builtins.next}
        7    0.000    0.000    0.154    0.022 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\importlib\metadata\__init__.py:903(<genexpr>)
        6    0.000    0.000    0.154    0.026 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\importlib\metadata\__init__.py:801(search)
        6    0.000    0.000    0.141    0.023 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\importlib\metadata\__init__.py:804(mtime)
        1    0.000    0.000    0.126    0.126 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\importlib\metadata\__init__.py:624(version)
        1    0.000    0.000    0.126    0.126 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\importlib\metadata\__init__.py:597(metadata)
        1    0.000    0.000    0.125    0.125 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\importlib\metadata\__init__.py:919(read_text)
        1    0.000    0.000    0.125    0.125 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\pathlib.py:1129(read_text)
        1    0.000    0.000    0.109    0.109 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask_socketio\__init__.py:744(start_background_task)
        1    0.000    0.000    0.109    0.109 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\socketio\server.py:436(start_background_task)
        1    0.000    0.000    0.109    0.109 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\engineio\server.py:352(start_background_task)
        1    0.000    0.000    0.109    0.109 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\threading.py:916(start)
        1    0.000    0.000    0.109    0.109 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\threading.py:589(wait)
        1    0.000    0.000    0.109    0.109 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\threading.py:288(wait)
        6    0.109    0.018    0.109    0.018 {method 'acquire' of '_thread.lock' objects}
        2    0.000    0.000    0.107    0.054 <frozen importlib._bootstrap>:1022(_find_and_load)
        2    0.091    0.045    0.091    0.045 {built-in method io.open}
        1    0.000    0.000    0.078    0.078 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\pathlib.py:1111(open)
        4    0.000    0.000    0.065    0.016 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\colorama\ansitowin32.py:175(write)
        1    0.000    0.000    0.061    0.061 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
        1    0.000    0.000    0.061    0.061 <frozen importlib._bootstrap>:921(_find_spec)
        1    0.000    0.000    0.061    0.061 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.061    0.061 <frozen importlib._bootstrap_external>:1399(_get_spec)
        5    0.000    0.000    0.061    0.012 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    0.061    0.061 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\serving.py:833(log_startup)
        5    0.000    0.000    0.060    0.012 <frozen importlib._bootstrap_external>:140(_path_stat)
        2    0.000    0.000    0.049    0.024 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\genericpath.py:27(isfile)
        2    0.000    0.000    0.047    0.024 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\_internal.py:78(_log)
        2    0.000    0.000    0.046    0.023 <frozen importlib._bootstrap>:169(__enter__)
        3    0.000    0.000    0.046    0.015 <frozen importlib._bootstrap>:179(_get_module_lock)
       11    0.045    0.004    0.045    0.004 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.035    0.035 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\http\server.py:135(server_bind)
        1    0.000    0.000    0.035    0.035 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\socket.py:791(getfqdn)
        1    0.035    0.035    0.035    0.035 {built-in method _socket.gethostbyaddr}
        1    0.000    0.000    0.034    0.034 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\flask\cli.py:774(show_server_banner)
        2    0.000    0.000    0.034    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\click\utils.py:222(echo)
        2    0.000    0.000    0.034    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\click\_compat.py:541(_safe_write)
        2    0.000    0.000    0.034    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\colorama\ansitowin32.py:46(write)
        2    0.000    0.000    0.034    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\colorama\ansitowin32.py:192(write_and_convert)
        2    0.000    0.000    0.034    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\colorama\ansitowin32.py:208(write_plain_text)
        2    0.000    0.000    0.034    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\click\_winconsole.py:203(write)
        2    0.034    0.017    0.034    0.017 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\click\_winconsole.py:174(write)
        1    0.000    0.000    0.030    0.030 d:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\werkzeug\serving.py:682(get_interface_ip)
        1    0.030    0.030    0.030    0.030 {method '__exit__' of '_io._IOBase' objects}
