         7255 function calls (7139 primitive calls) in 7.523 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    5.636    5.636 receive.py:62(connect)
        1    0.000    0.000    5.614    5.614 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\socketio\client.py:73(connect)
        1    0.000    0.000    5.382    5.382 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\engineio\client.py:62(connect)
        1    0.000    0.000    5.382    5.382 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\engineio\client.py:185(_connect_polling)
        4    4.177    1.044    4.177    1.044 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    2.906    2.906 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\engineio\client.py:441(_send_request)
        1    0.000    0.000    2.906    2.906 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\requests\sessions.py:500(request)
        1    0.000    0.000    2.497    2.497 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\requests\sessions.py:673(send)
        1    0.000    0.000    2.475    2.475 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\engineio\client.py:246(_connect_websocket)
        1    0.000    0.000    2.304    2.304 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_core.py:590(create_connection)
        1    0.000    0.000    2.304    2.304 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_core.py:215(connect)
        1    0.000    0.000    2.295    2.295 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\requests\adapters.py:590(send)
        1    0.000    0.000    2.293    2.293 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\urllib3\connectionpool.py:592(urlopen)
        1    0.000    0.000    2.293    2.293 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\urllib3\connectionpool.py:377(_make_request)
        1    0.000    0.000    2.162    2.162 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_http.py:126(connect)
        1    0.000    0.000    2.147    2.147 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\websocket\_http.py:195(_open_socket)
        1    0.000    0.000    2.119    2.119 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\site-packages\urllib3\connection.py:424(request)
        1    0.000    0.000    2.119    2.119 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\http\client.py:1267(endheaders)
        1    0.000    0.000    2.119    2.119 D:\Program Files\Anaconda3\envs\EngineeringIntro\lib\http\client.py:1029(_send_output)
